date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
6/21/2022,WE6,2.77,0.75,Surface,11:36,41.7051,-83.3865,5.83,clear,1.25,23.9,429.5,2.6,52.2,6.3,468.6,9.26,<0.1,0.2,0.72,10.87,,,124.54,113.93,66.46,127.62,6.073,0.61,0.1,4.62,5.28,1.52
6/21/2022,WE8,4.87,0.75,Surface,8:14,41.8346,-83.3613,14,clear,1.75,22.4,347.3,2.2,59.5,7.39,240.8,3.37,<0.1,0.22,0.17,2.44,,,41.42,31.45,20.03,91.1,1.627,0.29,0.05,1.67,2.62,0.74
6/21/2022,WE8,,4,Bottom,,,,,,,22.4,346.3,0.9,79.6,6.65,12.7,,<0.1,0.12,0.48,1.85,,,,,,,,,,,,
6/21/2022,WE9,3.67,0.75,Surface,12:04,41.7174,-83.4233,5.83,clear,0.25,24.3,454.3,,,5.39,702.7,30.6,<0.1,0.21,0.4,18.59,,,177.86,114.24,,,,1.57,0.24,4.94,24.1,3.7
6/21/2022,WE12,6.6,0.75,Surface,10:58,41.7028,-83.254,5.83,clear,1,22.9,310.2,3.7,39.3,6.93,285.2,8.87,0.15,0.31,0.44,9.21,,,47.42,21.15,10.34,46.29,0.404,0.61,0.11,1.46,7.92,1.3
6/21/2022,WE12,,5.8,Bottom,,,,,,,22.4,304.4,5.4,26.3,5.7,2.3,,<0.1,0.2,0.17,8.3,,,,,,,,,,,,
6/21/2022,WE13,8.92,0.75,Surface,9:47,41.7424,-83.1368,9.91,clear,1.25,21.6,268.5,1.9,62.4,7.73,1331.1,4.15,<0.1,0.13,2,3.48,,,17.97,9.62,3.03,27.14,0.292,0.4,0.07,0.42,4.6,0.88
6/21/2022,WE13,,8.1,Bottom,,,,,,,21.2,262.2,3,47.6,7.11,11.4,,<0.1,0.19,bdl,1.98,,,,,,,,,,,,
6/21/2022,WE16,5.9,0.75,Surface,10:25,41.658,-83.1459,5.83,clear,2.25,22.3,265.9,1.2,74.4,6.9,352.4,3.79,<0.1,0.23,bdl,3.29,,,43.88,13.87,4.91,41.2,0.839,0.36,0.06,0.72,3.2,0.54
7/6/2022,WE2,5.67,0.75,Surface,12:34,41.7633,-83.3295,13.61,overcast,2.5,24.2,307.5,2.7,59.1,7.56,695.4,4,0.44,<0.1,,11.58,127889,26,33.37,16.36,4.93,34.03,0.661,0.67,0.13,1.1,3.58,1.18
7/6/2022,WE2,,4.6,Bottom,,,,,,,24.5,305.1,1.1,76.7,7.2,21,,0.35,<0.1,4.46,13.72,,,,,,,,,,,,
7/6/2022,WE4,8.38,0.75,Surface,8:50,41.8263,-83.1943,13.02,overcast,3.5,24.1,289.5,0.7,84.5,7.13,116.9,1.19,0.12,0.13,1.93,5.16,16001,32,22.68,13.2,4.53,70.46,3.475,0.41,0.08,0.66,2.28,0.92
7/6/2022,WE6,2.93,0.75,Surface,11:32,41.7055,-83.3823,13.61,overcast,1.25,25.1,408.5,3.5,41.7,7.95,136.3,7.91,0.14,<0.1,6.88,56.94,793260,133,92.46,40.44,22.74,21.6,1.076,1.92,0.34,2.77,11.7,3.8
7/6/2022,WE8,4.77,0.75,Surface,7:58,41.8348,-83.3582,13.02,overcast,2.5,25,305.6,0.8,81.6,7.18,49.3,2.44,0.23,0.13,2.29,4.06,48425,21,37.03,22.65,10.93,95.17,3.159,0.7,0.15,1,3.5,1.4
7/6/2022,WE8,,3.9,Bottom,,,,,,,25,305.6,0.8,82.5,6.72,6.3,,0.21,0.11,1.55,3.09,,,,,,,,,,,,
7/6/2022,WE9,2.89,0.75,Surface,11:55,41.7174,-83.4227,11.66,overcast,1,25.1,412.8,8.4,13.3,6.7,278.8,13.8,0.71,0.16,1.34,33.54,1193112,256,100.87,28.64,30.05,52.88,0.396,1.42,0.25,2.44,15.77,2.67
7/6/2022,WE12,6.32,0.75,Surface,10:49,41.7008,-83.2521,9.72,rain,1.75,24.3,273.1,2,61.4,7.58,323.2,3.25,0.13,<0.1,0.91,10.09,39628,40,21.6,12.91,2.08,17.72,0.43,0.52,0.1,0.56,4.6,0.98
7/6/2022,WE12,,5.8,Bottom,,,,,,,24.3,273.3,1.6,67.5,7.3,8.3,,<0.1,<0.1,1.72,9,,,,,,,,,,,,
7/6/2022,WE13,8.9,0.75,Surface,9:31,41.7438,-83.1352,7.97,overcast,4,23.9,261.9,0.9,80.7,7.35,258.8,1.33,<0.1,<0.1,0.17,3.45,9528,23,14.79,10.09,2.37,16.37,0.333,0.37,0.06,0.37,2.08,0.52
7/6/2022,WE13,,8.1,Bottom,,,,,,,23.8,262.7,1,78.2,7.33,16.6,,<0.1,<0.1,0.1,3.13,,,,,,,,,,,,
7/6/2022,WE16,6.04,0.75,Surface,10:11,41.6599,-83.1429,7.78,rain,3,24.3,257.2,1.5,70.4,7.36,150.5,2.03,<0.1,<0.1,0.03,3.1,5704,10,19.51,6.31,2.62,22.76,0.334,0.28,0.05,0.33,2.96,0.9
7/11/2022,WE2,4.95,0.75,Surface,12:50,41.7609,-83.3335,15.55,cloudy,1.25,24.4,347.6,4.4,34,7.91,814.9,9.68,1.26,0.31,5.34,16.97,132162,226,71.49,29.54,15.28,12.65,0.494,1.51,0.28,1.5,10.68,3.38
7/11/2022,WE2,,4.1,Bottom,,,,,,,24.3,348,3.8,38.8,7.8,7.5,,0.62,0.41,2.63,5.88,,,,,,,,,,,,
7/11/2022,WE4,8.3,0.75,Surface,9:03,41.8252,-83.1966,14,clear,2.25,23.8,282.6,1.1,76,7.79,178.3,1.67,0.15,0.14,1.89,12.42,293715,72,24.28,11.35,1.63,7.8,1.363,0.64,0.11,0.73,2.76,1.78
7/11/2022,WE6,2.49,0.75,Surface,11:52,41.7048,-83.3874,13.61,partly cloudy,1.25,24,321.7,2.9,48.8,8.11,1379.4,7.87,0.91,0.32,4.82,35.1,1119809,837,47.1,11.77,3.84,4.83,0.702,1.39,0.25,1.23,9.15,3.45
7/11/2022,WE8,4.81,0.75,Surface,8:14,41.8333,-83.3627,14,clear,2,24.2,295.1,1.7,65.1,8.29,105.7,3.14,0.47,0.25,12.96,36.56,1329008,120,40.99,11.56,1.3,3.26,4.516,1.31,0.25,0.88,5.24,2.58
7/11/2022,WE8,,4,Bottom,,,,,,,24.2,295,1.6,66.3,7.37,6.3,,<0.1,0.26,15.19,32.89,,,,,,,,,,,,
7/11/2022,WE9,2.16,0.75,Surface,12:15,41.7174,-83.4257,13.61,mostly clear,0.25,24.5,390,,,4.77,382.6,58.7,0.92,<0.1,0.37,13.72,169124,<100,251.93,134.56,92.85,154.13,0.608,2.03,0.31,5.81,47.95,6.8
