,station_name,timestamp,lat,lon,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,turbidity,tss,vss,cdom,date
114,WE4,2013-08-12 11:34:00,41.8269,-83.1931,3.55,,28.36,34.02,3.21,6.3,4.86,,8/12/2013
115,WE6,2013-08-12 10:44:00,41.7109,-83.3869,13.21,,183.16,104.76,19.9,22.03,16.3,,8/12/2013
116,WE8,2013-08-12 12:38:00,41.8344,-83.3632,25.71,,483.07,156.17,248.0,127.0,117.2,,8/12/2013
117,WE2,2013-08-19 10:05:00,41.7637,-83.3298,4.49,,24.82,89.08,18.6,14.68,8.32,,8/19/2013
118,WE4,2013-08-19 11:09:00,41.8266,-83.1931,2.75,,30.82,62.18,15.7,11.98,8.46,,8/19/2013
119,WE6,2013-08-19 10:25:00,41.7145,-83.3824,56.35,,3315.11,243.81,829.0,540.8,515.0,,8/19/2013
120,WE8,2013-08-19 13:35:00,41.8329,-83.3588,2.71,,45.56,114.53,26.0,22.25,20.1,,8/19/2013
121,WE 2013.8,2013-08-19 12:05:00,41.7306,-82.8961,0.81,,29.9,57.27,17.4,12.0,11.6,,8/19/2013
122,WE2,2013-08-26 11:03:00,41.7628,-83.3305,5.29,,21.05,98.54,14.9,16.64,9.06,,8/26/2013
123,WE4,2013-08-26 12:10:00,41.8269,-83.1936,0.35,,38.72,17.85,5.55,5.43,3.66,,8/26/2013
124,WE6,2013-08-26 11:25:00,41.7121,-83.3806,43.19,,104.03,118.17,34.4,29.5,15.47,,8/26/2013
125,WE8,2013-08-26 10:35:00,41.8338,-83.3641,6.74,,31.8,71.18,22.0,20.77,11.9,,8/26/2013
126,WE 2013.9,2013-08-26 12:40:00,41.9138,-83.1678,0.01,,2.74,7.86,2.35,,,,8/26/2013
127,WE 2013.10,2013-08-26 13:15:00,41.8352,-83.2909,2.67,,42.01,54.34,18.3,17.3,11.57,,8/26/2013
128,WE2,2013-09-03 10:17:00,41.7623,-83.3303,9.6,,22.98,78.46,14.1,14.77,8.27,,9/3/2013
129,WE4,2013-09-03 12:01:00,41.8269,-83.1928,1.04,,21.45,42.75,12.1,9.0,5.83,,9/3/2013
130,WE6,2013-09-03 11:12:00,41.711,-83.3781,20.78,,64.16,223.36,59.5,96.5,43.5,,9/3/2013
131,WE8,2013-09-03 13:20:00,41.8372,-83.3622,5.51,,46.34,,28.6,22.25,12.6,,9/3/2013
132,WE 2013.11,2013-09-03 12:42:00,41.9209,-83.198,0.21,,0.09,4.04,2.31,2.87,1.13,,9/3/2013
133,WE 2013.12,2013-09-03 12:24:00,41.8739,-83.2,0.6,,0.91,4.06,3.01,4.9,2.3,,9/3/2013
134,WE2,2013-09-10 10:03:00,41.7631,-83.3303,6.02,,59.56,114.5,33.3,23.68,14.64,,9/10/2013
135,WE4,2013-09-10 11:28:00,41.8256,-83.1949,0.79,,19.67,65.33,13.8,12.88,6.44,,9/10/2013
136,WE6,2013-09-10 10:26:00,41.7105,-83.3817,8.78,,49.32,121.54,45.5,41.13,18.33,,9/10/2013
137,WE8,2013-09-10 12:04:00,41.8346,-83.3625,6.43,,227.95,203.01,52.5,39.13,24.73,,9/10/2013
138,WE 2013.14,2013-09-10 10:50:00,41.7088,-83.3034,12.12,,70.1,152.76,49.4,47.07,25.07,,9/10/2013
139,WE2,2013-09-17 13:04:00,41.7628,-83.33,2.8,,22.71,88.21,25.1,23.8,10.83,,9/17/2013
140,WE4,2013-09-17 11:19:00,41.826,-83.1947,0.59,,3.44,11.73,3.64,2.47,1.54,,9/17/2013
141,WE6,2013-09-17 12:44:00,41.7142,-83.3806,2.49,,11.55,101.44,60.6,63.2,18.7,,9/17/2013
142,WE8,2013-09-17 10:35:00,41.8335,-83.3649,3.04,,12.54,89.39,35.8,35.33,12.03,,9/17/2013
143,WE 2013.15,2013-09-17 12:20:00,41.71,-83.2914,5.61,,16.07,79.25,46.1,46.35,15.9,,9/17/2013
144,WE2,2013-09-23 10:25:00,41.7632,-83.3321,2.28,,33.56,65.62,22.0,20.23,9.67,,9/23/2013
145,WE4,2013-09-23 11:36:00,41.8264,-83.1945,0.27,,0.32,3.8,1.51,1.8,0.42,,9/23/2013
146,WE6,2013-09-23 10:49:00,41.7131,-83.384,2.11,,25.82,105.95,59.2,63.2,16.3,,9/23/2013
147,WE8,2013-09-23 12:10:00,41.8348,-83.3624,4.11,,23.63,74.1,30.8,37.5,10.75,,9/23/2013
148,WE2,2013-10-15 10:02:00,41.7636,-83.3294,0.41,,2.28,42.44,24.6,25.9,8.95,,10/15/2013
149,WE4,2013-10-15 12:45:00,41.8253,-83.1954,0.11,,10.98,39.44,12.8,8.08,3.58,,10/15/2013
150,WE6,2013-10-15 10:25:00,41.7146,-83.3848,0.5,,1.64,60.36,41.7,46.87,14.4,,10/15/2013
